City,Country,date,Year,Month,MPSI,MPSI_star,N_elevated,SmogMonth,SmogMonth_refined,Formula detected Smog,Refined detected Smog
Dhaka,Bangladesh,2021-02,2021,2,0.6546423901227783,1.2959258036326229,1,0,0,No,No
Dhaka,Bangladesh,2021-03,2021,3,0.7134712925945139,1.2231658392216462,2,0,0,No,No
Dhaka,Bangladesh,2021-04,2021,4,0.6411056004418304,0.6465561019837719,3,0,0,No,No
Dhaka,Bangladesh,2021-05,2021,5,-0.3363605593377148,-0.6746796022935714,1,0,0,No,No
Dhaka,Bangladesh,2021-06,2021,6,-0.733267696016932,-0.6756679954920068,0,0,0,No,No
Dhaka,Bangladesh,2021-07,2021,7,-0.7327816994254464,-1.8539839028545149,0,0,0,No,No
Dhaka,Bangladesh,2021-08,2021,8,-0.599909105848843,-1.461302636860293,0,0,0,No,No
Dhaka,Bangladesh,2021-09,2021,9,-0.3509296054580861,-0.8288128541789841,0,0,0,No,No
Dhaka,Bangladesh,2021-10,2021,10,0.01140118818777749,-0.4452790279172545,0,0,0,No,No
Dhaka,Bangladesh,2021-11,2021,11,0.4773546051658796,0.16316883474999444,2,0,0,No,No
Dhaka,Bangladesh,2021-12,2021,12,0.25351090062470905,0.03557575550678682,1,0,0,No,No
Dhaka,Bangladesh,2022-01,2022,1,0.4620200132403148,1.2573878780103478,2,0,0,No,No
Dhaka,Bangladesh,2022-02,2022,2,0.773093367478883,1.0556480185830919,1,0,0,No,No
Dhaka,Bangladesh,2022-03,2022,3,1.0272409774155493,0.612986709306392,3,0,0,No,No
Dhaka,Bangladesh,2022-04,2022,4,0.7957384187734773,-0.36894210378923475,2,0,0,No,No
Dhaka,Bangladesh,2022-05,2022,5,0.12439303528437207,-0.7524181596579869,1,0,0,No,No
Dhaka,Bangladesh,2022-06,2022,6,-0.33859268963332106,-0.8265223027887368,1,0,0,No,No
Dhaka,Bangladesh,2022-07,2022,7,-0.9003114236858389,-1.3168907357009743,0,0,0,No,No
Dhaka,Bangladesh,2022-08,2022,8,-1.00724593220179,-1.1558751764147261,0,0,0,No,No
