City,Country,date,Year,Month,MPSI,N_elevated,cond1_MPSI,cond2_Nelev,cond3_window,SmogMonth,Formula detected Smog,months_in_year,short_year_flag
Dhaka,Bangladesh,2021-05,2021,5,-0.3363605593377148,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2021-06,2021,6,-0.733267696016932,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2021-07,2021,7,-0.7327816994254464,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2021-08,2021,8,-0.599909105848843,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2021-09,2021,9,-0.3509296054580861,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2021-10,2021,10,0.01140118818777749,0,False,False,True,0,No,12,False
Dhaka,Bangladesh,2021-11,2021,11,0.4773546051658796,2,False,True,True,0,No,12,False
Dhaka,Bangladesh,2021-12,2021,12,0.25351090062470905,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2022-01,2022,1,0.4620200132403148,2,False,True,True,0,No,12,False
Dhaka,Bangladesh,2022-02,2022,2,0.773093367478883,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2022-03,2022,3,1.0272409774155493,3,True,True,False,0,No,12,False
Dhaka,Bangladesh,2022-04,2022,4,0.7957384187734773,2,False,True,False,0,No,12,False
Dhaka,Bangladesh,2022-05,2022,5,0.12439303528437207,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2022-06,2022,6,-0.33859268963332106,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2022-07,2022,7,-0.9003114236858389,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2022-08,2022,8,-1.00724593220179,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2022-09,2022,9,-0.6868778126971403,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2022-10,2022,10,-0.4780631933931536,0,False,False,True,0,No,12,False
Dhaka,Bangladesh,2022-11,2022,11,0.07764842148754891,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2022-12,2022,12,0.15095681793109567,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2023-01,2023,1,0.6948974744116493,3,False,True,True,0,No,12,False
Dhaka,Bangladesh,2023-02,2023,2,0.8410627634264894,3,False,True,True,0,No,12,False
Dhaka,Bangladesh,2023-03,2023,3,0.3879056283859311,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2023-04,2023,4,0.6129416151830169,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2023-05,2023,5,0.37663415871092837,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2023-06,2023,6,-0.4813749953663861,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2023-07,2023,7,-1.0450364282743174,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2023-08,2023,8,-0.7996750017704641,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2023-09,2023,9,-0.7110747393030533,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2023-10,2023,10,-0.2609189537506997,0,False,False,True,0,No,12,False
Dhaka,Bangladesh,2023-11,2023,11,0.15031202156917753,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2023-12,2023,12,0.2343264567777262,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2024-01,2024,1,0.740798550289161,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2024-02,2024,2,0.4392038806845444,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2024-03,2024,3,0.6084710180790647,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2024-04,2024,4,0.9392866954293655,4,False,True,False,0,No,12,False
Dhaka,Bangladesh,2024-05,2024,5,0.4563154858453835,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2024-06,2024,6,-0.39274620679073524,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2024-07,2024,7,-1.049913112133984,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2024-08,2024,8,-1.0356530124402088,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2024-09,2024,9,-0.7525731537179159,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2024-10,2024,10,-0.4134352842523622,0,False,False,True,0,No,12,False
Dhaka,Bangladesh,2024-11,2024,11,0.10085653962210121,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2024-12,2024,12,0.359388599385585,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2025-01,2025,1,0.6165940716379451,2,False,True,True,0,No,12,False
Dhaka,Bangladesh,2025-02,2025,2,0.8161420127265222,2,False,True,True,0,No,12,False
Dhaka,Bangladesh,2025-03,2025,3,0.9788048725842102,3,False,True,False,0,No,12,False
Dhaka,Bangladesh,2025-04,2025,4,0.7088189559992324,2,False,True,False,0,No,12,False
Dhaka,Bangladesh,2025-05,2025,5,0.1101991916151761,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2025-06,2025,6,-0.6802088298701137,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2025-07,2025,7,-0.6737328191833857,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2025-08,2025,8,-0.8274207138838328,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2025-09,2025,9,-0.8228312719802524,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2025-10,2025,10,-0.3082859595392987,0,False,False,True,0,No,12,False
Dhaka,Bangladesh,2025-11,2025,11,-0.10771785693604352,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2025-12,2025,12,0.18963834682983735,2,False,True,True,0,No,12,False
Dhaka,Bangladesh,2026-01,2026,1,0.4204876289504327,2,False,True,True,0,No,6,True
Dhaka,Bangladesh,2026-02,2026,2,0.4242456274975647,0,False,False,True,0,No,6,True
Dhaka,Bangladesh,2026-03,2026,3,0.20977937923745066,1,False,False,False,0,No,6,True
Dhaka,Bangladesh,2026-04,2026,4,0.21627769456757293,1,False,False,False,0,No,6,True
Dhaka,Bangladesh,2026-05,2026,5,-0.7741685060162912,1,False,False,False,0,No,6,True
Dhaka,Bangladesh,2026-06,2026,6,-0.49662182423673207,0,False,False,False,0,No,6,True
Dushanbe,Tajikistan,2018-07,2018,7,-0.22669647053061487,1,False,False,False,0,No,6,True
Dushanbe,Tajikistan,2018-08,2018,8,-0.2030994818785377,1,False,False,False,0,No,6,True
Dushanbe,Tajikistan,2018-09,2018,9,-0.48678245326211006,0,False,False,False,0,No,6,True
Dushanbe,Tajikistan,2018-10,2018,10,-0.1124554061276956,0,False,False,True,0,No,6,True
Dushanbe,Tajikistan,2018-11,2018,11,0.12664582446765177,2,False,True,True,0,No,6,True
Dushanbe,Tajikistan,2018-12,2018,12,0.9023879873313057,3,False,True,True,0,No,6,True
Dushanbe,Tajikistan,2019-01,2019,1,0.34296938543706174,1,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2019-02,2019,2,0.49378735338716007,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2019-03,2019,3,-0.036537529414596114,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2019-04,2019,4,-0.42070335256796215,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2019-05,2019,5,-0.23892638245846518,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2019-06,2019,6,-0.44474030365556033,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2019-07,2019,7,-0.10982378396524721,1,False,False,False,0,No,12,False
