City,Country,date,Year,Month,MPSI,N_elevated,cond1_MPSI,cond2_Nelev,cond3_window,SmogMonth,Formula detected Smog
Dhaka,Bangladesh,2022-11,2022,11,0.47472004207345353,2,False,True,True,0,No
Dhaka,Bangladesh,2022-12,2022,12,0.49928216869860326,2,False,True,True,0,No
Dhaka,Bangladesh,2023-01,2023,1,0.7524913316335671,3,False,True,True,0,No
Dhaka,Bangladesh,2023-02,2023,2,0.79430772196374,3,False,True,True,0,No
Dhaka,Bangladesh,2023-03,2023,3,0.5330406598579325,1,False,False,False,0,No
Dhaka,Bangladesh,2023-04,2023,4,0.6610867422613113,2,False,True,False,0,No
Dhaka,Bangladesh,2023-05,2023,5,0.3975811547760369,1,False,False,False,0,No
Dhaka,Bangladesh,2023-06,2023,6,-0.314936494510165,0,False,False,False,0,No
Dhaka,Bangladesh,2023-07,2023,7,-0.7520163091156113,0,False,False,False,0,No
Dhaka,Bangladesh,2023-08,2023,8,-0.5288588830847867,0,False,False,False,0,No
Dhaka,Bangladesh,2023-09,2023,9,-0.4188204626235053,0,False,False,False,0,No
Dhaka,Bangladesh,2023-10,2023,10,-0.07383610111689035,0,False,False,True,0,No
Dhaka,Bangladesh,2023-11,2023,11,0.16663630957263448,1,False,False,True,0,No
Dhaka,Bangladesh,2023-12,2023,12,0.27366148668112755,0,False,False,True,0,No
Dhaka,Bangladesh,2024-01,2024,1,0.7697416530156549,1,False,False,True,0,No
Dhaka,Bangladesh,2024-02,2024,2,0.5519631409791786,1,False,False,True,0,No
Dhaka,Bangladesh,2024-03,2024,3,0.7679773489653494,1,False,False,False,0,No
Dhaka,Bangladesh,2024-04,2024,4,1.0075051162434128,4,True,True,False,0,No
Dhaka,Bangladesh,2024-05,2024,5,0.5311970975246586,2,False,True,False,0,No
Dhaka,Bangladesh,2024-06,2024,6,-0.17276423006399844,1,False,False,False,0,No
Dhaka,Bangladesh,2024-07,2024,7,-0.6633920960941057,0,False,False,False,0,No
Dhaka,Bangladesh,2024-08,2024,8,-0.6823744920591646,0,False,False,False,0,No
Dhaka,Bangladesh,2024-09,2024,9,-0.42786461954406035,0,False,False,False,0,No
Dhaka,Bangladesh,2024-10,2024,10,-0.15358413679541144,0,False,False,True,0,No
Dhaka,Bangladesh,2024-11,2024,11,0.10062547341987997,1,False,False,True,0,No
Dhaka,Bangladesh,2024-12,2024,12,0.36895835607776284,0,False,False,True,0,No
Dhaka,Bangladesh,2025-01,2025,1,0.552260306538858,1,False,False,True,0,No
Dhaka,Bangladesh,2025-02,2025,2,0.6783404315952909,3,False,True,True,0,No
Dhaka,Bangladesh,2025-03,2025,3,0.8394690205025416,3,False,True,False,0,No
Dhaka,Bangladesh,2025-04,2025,4,0.6870053335242817,2,False,True,False,0,No
Dhaka,Bangladesh,2025-05,2025,5,0.19387394908275185,1,False,False,False,0,No
Dhaka,Bangladesh,2025-06,2025,6,-0.45450908259509354,0,False,False,False,0,No
Dhaka,Bangladesh,2025-07,2025,7,-0.48462798958616443,0,False,False,False,0,No
Dhaka,Bangladesh,2025-08,2025,8,-0.6044305969158819,0,False,False,False,0,No
Dhaka,Bangladesh,2025-09,2025,9,-0.6001137943729731,0,False,False,False,0,No
Dhaka,Bangladesh,2025-10,2025,10,-0.24388562561341703,0,False,False,True,0,No
Dhaka,Bangladesh,2025-11,2025,11,-0.11765744199577374,1,False,False,True,0,No
Dhaka,Bangladesh,2025-12,2025,12,0.11019532618527919,1,False,False,True,0,No
Dhaka,Bangladesh,2026-01,2026,1,0.3778618467500869,1,False,False,True,0,No
Dhaka,Bangladesh,2026-02,2026,2,0.5907873604682011,1,False,False,True,0,No
Dhaka,Bangladesh,2026-03,2026,3,0.5107204668889717,1,False,False,False,0,No
Dhaka,Bangladesh,2026-04,2026,4,0.5748790314398134,2,False,True,False,0,No
Dhaka,Bangladesh,2026-05,2026,5,0.2987695342649008,1,False,False,False,0,No
Dhaka,Bangladesh,2026-06,2026,6,0.2660595212013405,2,False,True,False,0,No
Dushanbe,Tajikistan,2018-07,2018,7,-0.2709489650585866,1,False,False,False,0,No
Dushanbe,Tajikistan,2018-08,2018,8,-0.23574451004304092,0,False,False,False,0,No
Dushanbe,Tajikistan,2018-09,2018,9,-0.4174952195990154,0,False,False,False,0,No
Dushanbe,Tajikistan,2018-10,2018,10,-0.30331112663037213,0,False,False,True,0,No
Dushanbe,Tajikistan,2018-11,2018,11,-0.08695148823433865,0,False,False,True,0,No
Dushanbe,Tajikistan,2018-12,2018,12,0.18380179682845837,0,False,False,True,0,No
Dushanbe,Tajikistan,2019-01,2019,1,-0.03510008125113031,1,False,False,True,0,No
Dushanbe,Tajikistan,2019-02,2019,2,0.10181194316403089,1,False,False,True,0,No
Dushanbe,Tajikistan,2019-03,2019,3,-0.24972758396155603,0,False,False,False,0,No
Dushanbe,Tajikistan,2019-04,2019,4,-0.5240683818686837,0,False,False,False,0,No
Dushanbe,Tajikistan,2019-05,2019,5,-0.42774094554413616,0,False,False,False,0,No
Dushanbe,Tajikistan,2019-06,2019,6,-0.5682961840695142,0,False,False,False,0,No
Dushanbe,Tajikistan,2019-07,2019,7,-0.5063850894226822,0,False,False,False,0,No
Dushanbe,Tajikistan,2019-08,2019,8,-0.33451880548300034,0,False,False,False,0,No
Dushanbe,Tajikistan,2019-09,2019,9,-0.6995789864954991,0,False,False,False,0,No
Dushanbe,Tajikistan,2019-10,2019,10,-0.7225318958849325,0,False,False,True,0,No
Dushanbe,Tajikistan,2019-11,2019,11,0.17718091012340104,1,False,False,True,0,No
Dushanbe,Tajikistan,2019-12,2019,12,0.08967531655240477,1,False,False,True,0,No
Dushanbe,Tajikistan,2020-01,2020,1,1.62775180211355,4,True,True,True,1,Yes
Dushanbe,Tajikistan,2020-02,2020,2,0.12086750449379528,0,False,False,True,0,No
Dushanbe,Tajikistan,2020-03,2020,3,-0.23906040424184485,0,False,False,False,0,No
Dushanbe,Tajikistan,2020-04,2020,4,-0.18780312961723764,1,False,False,False,0,No
Dushanbe,Tajikistan,2020-05,2020,5,-0.7033751596183231,0,False,False,False,0,No
Dushanbe,Tajikistan,2020-06,2020,6,-0.8524184246340573,0,False,False,False,0,No
Dushanbe,Tajikistan,2020-07,2020,7,-0.9910424874630172,0,False,False,False,0,No
Dushanbe,Tajikistan,2020-08,2020,8,-0.8377885244957056,0,False,False,False,0,No
Dushanbe,Tajikistan,2020-09,2020,9,-0.487625453985134,0,False,False,False,0,No
Dushanbe,Tajikistan,2020-10,2020,10,-0.1619045212729982,0,False,False,True,0,No
Dushanbe,Tajikistan,2020-11,2020,11,0.13182354134066862,1,False,False,True,0,No
Dushanbe,Tajikistan,2020-12,2020,12,0.614954112094632,1,False,False,True,0,No
Dushanbe,Tajikistan,2021-01,2021,1,0.498257089416672,1,False,False,True,0,No
Dushanbe,Tajikistan,2021-02,2021,2,-0.22299699265839878,0,False,False,True,0,No
Dushanbe,Tajikistan,2021-03,2021,3,-0.024331871691321137,2,False,True,False,0,No
Dushanbe,Tajikistan,2021-04,2021,4,-0.3233969721745617,0,False,False,False,0,No
Dushanbe,Tajikistan,2021-05,2021,5,-0.7299775791696207,0,False,False,False,0,No
Dushanbe,Tajikistan,2021-06,2021,6,-0.6908615585909871,0,False,False,False,0,No
Dushanbe,Tajikistan,2021-07,2021,7,-0.2720687022948703,1,False,False,False,0,No
Dushanbe,Tajikistan,2021-08,2021,8,0.4421774890092989,2,False,True,False,0,No
Dushanbe,Tajikistan,2021-09,2021,9,0.02398300047885611,1,False,False,False,0,No
Dushanbe,Tajikistan,2021-10,2021,10,0.12377225251122315,0,False,False,True,0,No
Dushanbe,Tajikistan,2021-11,2021,11,0.5340751195425496,1,False,False,True,0,No
Dushanbe,Tajikistan,2021-12,2021,12,0.6311913740515801,1,False,False,True,0,No
Dushanbe,Tajikistan,2022-01,2022,1,0.3972510943682875,0,False,False,True,0,No
Dushanbe,Tajikistan,2022-02,2022,2,0.3796801586007117,1,False,False,True,0,No
Dushanbe,Tajikistan,2022-03,2022,3,-0.13859692247571198,0,False,False,False,0,No
Dushanbe,Tajikistan,2022-04,2022,4,-0.2613255839561937,0,False,False,False,0,No
Dushanbe,Tajikistan,2022-05,2022,5,-0.5118334580126385,0,False,False,False,0,No
Dushanbe,Tajikistan,2022-06,2022,6,-0.3870633433612778,1,False,False,False,0,No
Dushanbe,Tajikistan,2022-07,2022,7,-0.16858916331953705,1,False,False,False,0,No
Dushanbe,Tajikistan,2022-08,2022,8,-0.3408247335639201,1,False,False,False,0,No
Dushanbe,Tajikistan,2022-09,2022,9,-0.45652327857461233,1,False,False,False,0,No
Dushanbe,Tajikistan,2022-10,2022,10,-0.7201572473580768,0,False,False,True,0,No
Dushanbe,Tajikistan,2022-11,2022,11,-0.3816011031460877,0,False,False,True,0,No
Dushanbe,Tajikistan,2022-12,2022,12,0.991322610335019,2,False,True,True,0,No
Dushanbe,Tajikistan,2023-01,2023,1,1.3023343252802309,4,True,True,True,1,Yes
Dushanbe,Tajikistan,2023-02,2023,2,-0.122291554264876,0,False,False,True,0,No
Dushanbe,Tajikistan,2023-03,2023,3,-0.49462036774078066,0,False,False,False,0,No
Dushanbe,Tajikistan,2023-04,2023,4,-0.20064137186794423,0,False,False,False,0,No
Dushanbe,Tajikistan,2023-05,2023,5,-0.06019538548338543,0,False,False,False,0,No
Dushanbe,Tajikistan,2023-06,2023,6,-0.04363651053158461,1,False,False,False,0,No
Dushanbe,Tajikistan,2023-07,2023,7,0.06741994630938661,1,False,False,False,0,No
Dushanbe,Tajikistan,2023-08,2023,8,-0.08314108285353741,1,False,False,False,0,No
Dushanbe,Tajikistan,2023-09,2023,9,-0.18124321394550727,1,False,False,False,0,No
